Gene ID	Associated Gene Name	Chromosome/scaffold name	Gene Start (bp)	Gene End (bp)	Strand
ENSMUSG00000068466	Gm5518	19	29160118	29160765	1
ENSMUSG00000024645	Timm21	18	84947294	84951524	-1
ENSMUSG00000077199	Gm22266	X	104070189	104070326	-1
ENSMUSG00000077201	Gm25614	14	58650268	58650400	-1
ENSMUSG00000039193	Nlrc4	17	74426295	74459108	-1
ENSMUSG00000089074	Gm23817	12	80622830	80622933	-1
ENSMUSG00000077185	Gm25091	5	146834834	146834904	1
ENSMUSG00000024910	Ctsw	19	5465240	5468498	-1
ENSMUSG00000045776	Lrtm1	14	29018208	29033642	1
ENSMUSG00000041840	Haus1	18	77757567	77767780	-1
ENSMUSG00000019907	Ppp1r12a	10	108162400	108277575	1
ENSMUSG00000065329	Gm22054	5	23836167	23836321	-1
ENSMUSG00000096915	Gm2964	X	33955044	33956540	-1
ENSMUSG00000049295	Zfp219	14	52006077	52020733	-1
ENSMUSG00000106175	Gm44313	11	58954983	58955120	-1
ENSMUSG00000077315	Gm24172	10	69132882	69132998	1
ENSMUSG00000094567	Gm25230	7	59531515	59531593	-1
ENSMUSG00000074026	Gm6091	8	126476248	126476412	-1
ENSMUSG00000042895	Abra	15	41865293	41869720	-1
ENSMUSG00000024758	Rtn3	19	7425901	7483289	-1
ENSMUSG00000040632	Nrl	14	55518978	55524981	-1
ENSMUSG00000088781	Gm25373	6	145464189	145464303	1
ENSMUSG00000076163	Mir701	5	111004144	111004252	1
ENSMUSG00000024074	Crim1	17	78200248	78376592	1
ENSMUSG00000093849	Gm7083	15	59977722	59978171	1
ENSMUSG00000084600	Gm22201	17	32389011	32389069	1
ENSMUSG00000098970	Gm27549	6	41602244	41602305	-1
ENSMUSG00000089054	Gm23350	18	9763160	9763262	-1
ENSMUSG00000084732	Gm25807	10	129172573	129172877	-1
ENSMUSG00000088138	Gm22894	9	102373118	102373220	1
ENSMUSG00000100909	Olfr1010	2	85753363	85754306	1
ENSMUSG00000098328	Gm27271	13	56704030	56704199	1
ENSMUSG00000042705	Commd10	18	46958862	47087992	1
ENSMUSG00000095734	Gm23767	7	59708469	59708562	-1
ENSMUSG00000093254	Mir5126	1	84695839	84695915	1
ENSMUSG00000019905	Gprc6a	10	51614823	51631458	-1
ENSMUSG00000095447	Gm23403	6	133191792	133191901	1
ENSMUSG00000022203	Efs	14	54916543	54926788	-1
ENSMUSG00000065563	Mir103-2	2	131288052	131288137	1
ENSMUSG00000064620	Gm22303	12	16939994	16940115	1
ENSMUSG00000088428	Gm22556	8	115052814	115052913	-1
ENSMUSG00000088468	Gm24750	12	61920574	61920677	1
ENSMUSG00000076216	Mir695	2	155356817	155356925	1
ENSMUSG00000098626	Gm27972	14	61648638	61648774	1
ENSMUSG00000000365	Rnf17	14	56402697	56525032	1
ENSMUSG00000077495	Gm23594	9	99943709	99943842	1
ENSMUSG00000065319	Gm26066	17	84624402	84624510	1
ENSMUSG00000037031	Tspan15	10	62185396	62231218	-1
ENSMUSG00000084511	Gm22481	16	22595029	22595220	1
ENSMUSG00000106195	Gm44340	14	70299922	70300007	-1
ENSMUSG00000089605	Gm22093	6	111603252	111603362	1
ENSMUSG00000020547	Bzw2	12	36091846	36156825	-1
ENSMUSG00000084505	Gm25322	1	119530211	119530314	1
ENSMUSG00000077021	Mir467d	2	10507630	10507714	1
ENSMUSG00000089576	Gm23007	2	21197690	21197866	-1
ENSMUSG00000094039	Snord116l5	7	59887057	59887150	-1
ENSMUSG00000084559	Mir1906-2	X	88759474	88759553	-1
ENSMUSG00000071713	Csf2rb	15	78325990	78351000	1
ENSMUSG00000104734	Mir669a-5	2	10481761	10481847	1
ENSMUSG00000070101	Mir341	12	109611500	109611595	1
ENSMUSG00000084622	Gm25545	10	75442620	75442942	1
ENSMUSG00000033122	Hsd17b3	13	64058274	64089201	-1
ENSMUSG00000058550	Dppa4	16	48283735	48294292	1
ENSMUSG00000093251	Gm22932	16	10273750	10273821	1
ENSMUSG00000094959	Gm24112	4	40850144	40850226	-1
ENSMUSG00000106578	Mir7217	17	27355738	27355799	1
ENSMUSG00000075600	Zc3h3	15	75754432	75841915	-1
ENSMUSG00000093071	Gm25951	4	140717043	140717106	1
ENSMUSG00000022312	Eif3h	15	51786558	51865481	-1
ENSMUSG00000077619	Gm25495	14	90356387	90356517	1
ENSMUSG00000094522	Gm22912	7	59612005	59612083	-1
ENSMUSG00000093006	Gm24157	11	52099043	52099153	-1
ENSMUSG00000105025	Rnu3b1	11	87443237	87443451	1
ENSMUSG00000052713	Zfp608	18	54888045	54990180	-1
ENSMUSG00000089034	Gm22156	11	12676933	12677073	1
ENSMUSG00000065036	Gm22362	6	131380273	131380406	-1
ENSMUSG00000065420	Mir142b	11	87756841	87756955	-1
ENSMUSG00000093508	Mir5709	17	67026147	67026235	-1
ENSMUSG00000093368	Gm22800	2	118248689	118248782	-1
ENSMUSG00000065447	Mir302d	3	127545624	127545689	1
ENSMUSG00000036167	Pphln1	15	93398350	93491913	1
ENSMUSG00000089274	Gm24547	1	122510549	122510697	1
ENSMUSG00000096814	Gm25085	7	59540870	59540948	-1
ENSMUSG00000095541	Gm24617	18	46367365	46367485	1
ENSMUSG00000087841	Gm25623	4	34086126	34086233	1
ENSMUSG00000074800	Gm4149	13	75644864	75645226	1
ENSMUSG00000099091	Mir7003	2	163068090	163068155	1
ENSMUSG00000044147	Arf6	12	69372150	69375979	1
ENSMUSG00000035078	Mtmr9	14	63523616	63543953	-1
ENSMUSG00000020590	Snx13	12	35047189	35147469	1
ENSMUSG00000087823	Gm22281	1	63575488	63575590	-1
ENSMUSG00000064829	Gm22879	2	26912218	26912291	1
ENSMUSG00000095350	Gm23284	8	123620241	123620359	-1
ENSMUSG00000058298	Mcm9	10	53536329	53630439	-1
ENSMUSG00000064591	Gm22302	7	37824242	37824347	-1
ENSMUSG00000089445	Gm22530	6	81806791	81806908	1
ENSMUSG00000093203	Gm22411	2	127891988	127892113	1
ENSMUSG00000098721	Mir6357	18	70516786	70516889	1
ENSMUSG00000061126	Cyp4f39	17	32468462	32492479	1
ENSMUSG00000091039	Krtap20-2	16	89205861	89206388	1
ENSMUSG00000076141	Mir693	17	46231531	46231619	1
ENSMUSG00000024922	Ovol1	19	5549137	5560575	-1
ENSMUSG00000076445	Gm24865	7	25828632	25828727	-1
ENSMUSG00000089438	Gm23194	11	69240599	69240703	1
ENSMUSG00000104757	Gm44391	8	67629014	67629106	-1
ENSMUSG00000024084	Qpct	17	79051906	79090243	1
ENSMUSG00000092009	Myh15	16	49057486	49199104	1
ENSMUSG00000077617	Gm25501	3	127005369	127005500	1
ENSMUSG00000046201	Scaf8	17	3114972	3198855	1
ENSMUSG00000098946	Gm27636	2	105123062	105123183	-1
ENSMUSG00000098381	Mir7225	3	97690509	97690562	-1
ENSMUSG00000056399	Prss34	17	25298394	25300161	1
ENSMUSG00000064493	Snora28	12	111540941	111541067	1
ENSMUSG00000071073	Lrrc73	17	46254165	46257316	1
ENSMUSG00000064675	Gm22810	15	24820545	24820702	-1
ENSMUSG00000024683	Mrpl16	19	11770415	11774944	1
ENSMUSG00000087760	Gm23980	15	23646420	23646577	-1
ENSMUSG00000021070	Bdkrb2	12	105563172	105593071	1
ENSMUSG00000098613	Mir6931	11	102999848	102999921	-1
ENSMUSG00000023945	Slc5a7	17	54273594	54299034	-1
ENSMUSG00000043501	Lgals2	15	78850862	78855529	-1
ENSMUSG00000093358	Mir3063	11	95963292	95963383	-1
ENSMUSG00000098787	Mir7088	9	108081498	108081583	1
ENSMUSG00000096866	Gm22260	1	25279445	25279551	-1
ENSMUSG00000065158	Gm25483	13	12589565	12589791	1
ENSMUSG00000065648	Gm25895	X	153915116	153915215	-1
ENSMUSG00000044408	Sptssa	12	54645374	54656572	-1
ENSMUSG00000095131	n-R5s110	8	123555763	123555881	-1
ENSMUSG00000106597	Mir7021	4	143136100	143136162	-1
ENSMUSG00000064052	Gm5089	14	122434854	122451115	-1
ENSMUSG00000098917	Mir7654	8	8690093	8690162	-1
ENSMUSG00000024530	Slmo1	18	67464849	67480581	1
ENSMUSG00000024815	Trpd52l3	19	30003790	30006020	1
ENSMUSG00000088425	Gm24422	11	48684709	48684827	1
ENSMUSG00000093160	Gm22773	2	172864264	172864341	-1
ENSMUSG00000095284	Gm22550	X	54118995	54119101	1
ENSMUSG00000078430	Gm10936	10	117248024	117250265	1
ENSMUSG00000084548	n-R5s175	5	119297245	119297361	1
ENSMUSG00000091312	Gm17490	2	11625606	11626264	-1
ENSMUSG00000035711	Dok3	13	55523235	55528538	-1
ENSMUSG00000065518	Mir423	11	77078064	77078172	-1
ENSMUSG00000006736	Tspan31	10	127067317	127070261	-1
ENSMUSG00000076287	Gm24273	1	131498639	131498802	-1
ENSMUSG00000088459	Mir1941	15	101369352	101369434	1
ENSMUSG00000059408	Mrgprh	17	12876034	12877842	1
ENSMUSG00000064452	Gm24564	12	109631074	109631148	1
ENSMUSG00000034435	Tmem30b	12	73543114	73546395	-1
ENSMUSG00000093009	Snord52	17	34950952	34951017	-1
ENSMUSG00000063011	Msln	17	25748614	25754327	-1
ENSMUSG00000096199	Ptrhd1	12	4234027	4240123	1
ENSMUSG00000044250	Pced1b	15	97247107	97385689	1
ENSMUSG00000098886	Mir6385	9	58221150	58221254	1
ENSMUSG00000025019	Lcor	19	41482645	41562246	1
ENSMUSG00000094372	Gm21839	5	135643955	135644336	-1
ENSMUSG00000095972	Gm23512	18	67174885	67174991	-1
ENSMUSG00000025047	Pdcd11	19	47090766	47131143	1
ENSMUSG00000099324	Mir8115	5	122682597	122682715	1
ENSMUSG00000045763	Basp1	15	25363285	25413764	-1
ENSMUSG00000098943	Rnu3b1	11	87443237	87443452	1
ENSMUSG00000092827	Mir3091	2	180257536	180257611	1
ENSMUSG00000079414	Gm11110	17	57092035	57105942	-1
ENSMUSG00000022546	Gpt	15	76696764	76699674	1
ENSMUSG00000023018	Smarcd1	15	99702287	99713995	1
ENSMUSG00000093983	Gm25431	19	3136984	3137090	-1
ENSMUSG00000087957	Gm22560	18	63509895	63510014	1
ENSMUSG00000071295	Gm10323	13	66852174	66854872	-1
ENSMUSG00000093995	Gm26426	2	10494321	10494443	1
ENSMUSG00000079007	Tcl1b4	12	105202422	105206993	1
ENSMUSG00000094969	Gm22420	17	26580802	26580927	-1
ENSMUSG00000004187	Kifc2	15	76660641	76668196	1
ENSMUSG00000077050	Gm24544	3	73146849	73146958	1
ENSMUSG00000037361	Sf3b6	12	4817608	4827658	1
ENSMUSG00000021112	Mpp5	12	78748947	78840711	1
ENSMUSG00000065277	Gm25126	8	37317477	37317578	-1
ENSMUSG00000091297	Gm8439	4	120588745	120609673	1
ENSMUSG00000065126	Snord104	11	106500993	106501062	1
ENSMUSG00000077190	Gm22269	3	57054150	57054279	1
ENSMUSG00000098484	Gm27280	6	52261154	52261212	1
ENSMUSG00000024525	Impa2	18	67289253	67319146	1
ENSMUSG00000095818	Gm24954	X	89849394	89849503	-1
ENSMUSG00000093660	Gm26505	2	113288273	113288438	1
ENSMUSG00000077981	Mir466f-3	2	10471953	10472046	1
ENSMUSG00000025209	Twnk	19	45006558	45012762	1
ENSMUSG00000096744	Gm4307	10	100361338	100362247	1
ENSMUSG00000099191	Gm27375	14	51837151	51837257	1
ENSMUSG00000099001	Gm27660	7	91126348	91126555	-1
ENSMUSG00000033644	Piwil2	14	70372480	70429094	-1
ENSMUSG00000021876	Rnase4	14	51091077	51106151	1
ENSMUSG00000064836	Gm25697	14	27527751	27527848	-1
ENSMUSG00000095701	Gm24830	3	96328425	96328590	1
ENSMUSG00000056073	Grik2	10	49099843	49783259	-1
ENSMUSG00000021278	Amn	12	111271111	111276426	1
ENSMUSG00000099330	Mir7053	7	44538106	44538178	-1
ENSMUSG00000106183	Mir101c	9	3038669	3038743	-1
ENSMUSG00000043190	Rfesd	13	76001535	76018712	-1
ENSMUSG00000099284	Mir7026	5	110666075	110666141	-1
ENSMUSG00000021982	Cdadc1	14	59560896	59597836	-1
ENSMUSG00000096565	Gm24100	7	59598904	59598982	-1
ENSMUSG00000094103	1700047I17Rik2	12	55199533	55214076	1
ENSMUSG00000065651	Gm25973	17	36842226	36842352	-1
ENSMUSG00000090592	Gm17571	9	13444034	13446753	-1
ENSMUSG00000078008	Mir291a	7	3218919	3219000	1
ENSMUSG00000038594	Cep85l	10	53278081	53379851	-1
ENSMUSG00000076338	Mir181d	8	84178716	84178787	-1
ENSMUSG00000095786	Gm24673	2	10491860	10491983	1
ENSMUSG00000039878	Slc39a5	10	128395934	128401224	-1
ENSMUSG00000062054	Iah1	12	21316392	21323605	1
ENSMUSG00000074635	3110070M22Rik	13	119487261	119488383	-1
ENSMUSG00000093075	Gm25948	11	120068127	120068238	-1
ENSMUSG00000062582	Rpl30-ps8	12	99047230	99047577	1
ENSMUSG00000059669	Taf1b	12	24498581	24558571	1
ENSMUSG00000010663	Fads1	19	10182888	10196870	1
ENSMUSG00000088565	Gm23781	12	11688697	11689004	-1
ENSMUSG00000095834	Tdgf1-ps1	16	3730510	3731025	1
ENSMUSG00000050891	Tatdn1	15	58890153	58933730	-1
ENSMUSG00000033762	Recql4	15	76703553	76710559	-1
ENSMUSG00000094507	Gm21913	Y	74623896	74624978	1
ENSMUSG00000088485	Gm23640	11	98870396	98870499	-1
ENSMUSG00000067331	Gm10205	5	44983861	44984242	-1
ENSMUSG00000061619	Vma21-ps	4	52496939	52497244	-1
ENSMUSG00000084683	Gm22025	X	140641960	140642261	-1
ENSMUSG00000078429	Ctdsp2	10	126978717	126999975	1
ENSMUSG00000094384	Gm25065	6	123623932	123624063	1
ENSMUSG00000090551	A730015C16Rik	4	108847399	108848619	-1
ENSMUSG00000065623	Gm24762	4	132547104	132547207	-1
ENSMUSG00000095104	Esp15	17	39640957	39645666	1
ENSMUSG00000010376	Nedd8	14	55662265	55671906	-1
ENSMUSG00000096811	Gm25088	7	59452983	59453061	-1
ENSMUSG00000087798	Gm25962	10	93916169	93916336	-1
ENSMUSG00000088398	Gm26306	9	44395797	44395915	-1
ENSMUSG00000091775	Gm16494	17	47016696	47016956	-1
ENSMUSG00000095915	n-R5s115	8	123564286	123564404	-1
ENSMUSG00000084640	Gm24383	3	107415863	107416195	-1
ENSMUSG00000045136	Tubb2b	13	34127008	34130354	-1
ENSMUSG00000022013	Dnajc15	14	77826217	77874917	-1
ENSMUSG00000065404	Mir201	X	67988096	67988161	-1
ENSMUSG00000076335	Mir670	2	94261300	94261399	-1
ENSMUSG00000095476	Gm25077	7	59473776	59473854	-1
ENSMUSG00000070511	Gm10295	7	71348961	71351485	-1
ENSMUSG00000098361	Mir7086	9	45266643	45266707	-1
ENSMUSG00000095998	Gm24701	7	14912358	14912462	1
ENSMUSG00000065700	Gm22827	8	112062505	112062611	1
ENSMUSG00000078377	Gm4294	12	12023043	12023657	1
ENSMUSG00000024036	Slc37a1	17	31295483	31350696	1
ENSMUSG00000089510	Gm25307	3	132537560	132537665	-1
ENSMUSG00000093344	Gm26113	5	141080431	141080509	1
ENSMUSG00000065737	Gm24490	8	86292501	86292598	1
ENSMUSG00000034509	Mad2l1bp	17	46147390	46153553	-1
ENSMUSG00000105790	AC122546.1	5	149247950	149248027	-1
ENSMUSG00000079039	Gm11037	2	131133497	131134215	1
ENSMUSG00000092686	Gm25745	10	86705316	86705448	-1
ENSMUSG00000037202	Prf1	10	61297836	61304263	1
ENSMUSG00000070227	Gm24704	3	24562074	24562180	1
ENSMUSG00000072571	Tmem253	14	52016865	52019787	1
ENSMUSG00000080590	Gm22029	3	55162314	55162434	-1
ENSMUSG00000065881	Gm22866	9	90351995	90352171	1
ENSMUSG00000021367	Edn1	13	42301270	42307989	1
ENSMUSG00000021253	Tgfb3	12	86056744	86079041	-1
ENSMUSG00000106221	AL626808.1	4	149817764	149817823	1
ENSMUSG00000077161	Gm24117	4	62812428	62812560	1
ENSMUSG00000099140	Mir7237	8	121978024	121978086	1
ENSMUSG00000092130	D030025P21Rik	12	84875769	84878132	1
ENSMUSG00000087819	Gm25117	10	111481493	111481636	1
ENSMUSG00000096296	Snord88c	7	44249852	44249941	1
ENSMUSG00000093079	Gm25953	6	118429170	118429252	1
ENSMUSG00000020064	Herc4	10	63243797	63317881	1
ENSMUSG00000047168	Gm6684	19	20586074	20586757	-1
ENSMUSG00000043498	9330132A10Rik	18	89293502	89297229	-1
ENSMUSG00000092764	Gm23362	5	149145724	149145821	1
ENSMUSG00000075864	Gm26002	8	128650997	128651103	1
ENSMUSG00000088098	Gm23674	18	26495435	26495565	1
ENSMUSG00000090881	Gm6904	14	59244441	59260216	-1
ENSMUSG00000023953	Polh	17	46172004	46202625	-1
ENSMUSG00000057605	Gm6807	19	45450308	45451195	-1
ENSMUSG00000094308	Gm24926	7	59477493	59477571	-1
ENSMUSG00000088465	Gm24745	10	107136974	107137058	1
ENSMUSG00000077642	Gm24984	10	72527550	72527682	1
ENSMUSG00000024896	Minpp1	19	32485769	32515370	1
ENSMUSG00000095474	Cldn34c2	X	123581700	123602134	1
ENSMUSG00000022382	Wnt7b	15	85535439	85581821	-1
ENSMUSG00000105477	AC151286.1	17	91088406	91088550	1
ENSMUSG00000104996	Mir6924	11	69882032	69882094	-1
ENSMUSG00000071040	Gm9386	17	80938334	80938714	-1
ENSMUSG00000088440	Gm23555	18	56192999	56193133	1
ENSMUSG00000088435	Gm25383	13	79161719	79161862	1
ENSMUSG00000076246	Gm22256	13	62466865	62466971	1
ENSMUSG00000035129	Gm6781	14	18531363	18532460	1
ENSMUSG00000098473	Mir7083	9	21809941	21810000	-1
ENSMUSG00000065794	Gm25514	2	116968039	116968173	-1
ENSMUSG00000087766	Gm23982	6	42832779	42832884	1
ENSMUSG00000075553	Gm5464	14	66868850	66871005	1
ENSMUSG00000045211	Nudt18	14	70577847	70582571	1
ENSMUSG00000091731	Gm17542	10	58713606	58718210	-1
ENSMUSG00000084560	Gm26478	2	11087781	11087913	-1
ENSMUSG00000078117	Gm16485	9	8971791	8975773	1
ENSMUSG00000092812	Gm23634	4	134468364	134468454	1
ENSMUSG00000104797	Mir1897	3	34638464	34638542	1
ENSMUSG00000089078	Gm24502	5	75561046	75561150	-1
ENSMUSG00000094523	Gm22913	10	96164331	96164431	1
ENSMUSG00000006464	Bbs1	19	4886898	4906627	-1
ENSMUSG00000096812	Gm25087	7	59582063	59582140	-1
ENSMUSG00000035678	Tnfsf9	17	57105385	57107757	1
ENSMUSG00000090666	Gm17567	10	33994989	33995054	-1
ENSMUSG00000092765	Gm23363	2	32318265	32318343	1
ENSMUSG00000105799	Mir126b	2	26591363	26591420	-1
ENSMUSG00000089066	Gm22836	9	82439414	82439474	-1
ENSMUSG00000054150	Syne3	12	104929949	105009809	-1
ENSMUSG00000022476	Polr3h	15	81915030	81926213	-1
ENSMUSG00000044937	Ttc41	10	86705811	86776843	1
ENSMUSG00000089405	Gm24876	14	75745849	75745940	-1
ENSMUSG00000071280	Gm10322	10	59616063	59616398	1
ENSMUSG00000087908	Gm22034	1	102953415	102953548	-1
ENSMUSG00000092816	Gm23637	18	9827026	9827119	-1
ENSMUSG00000045912	C2cd4c	10	79606857	79614025	-1
ENSMUSG00000054863	Fam19a5	15	87625230	87759336	1
ENSMUSG00000089206	Gm26214	1	105945554	105945660	1
ENSMUSG00000065079	Gm23464	3	90560556	90560702	-1
ENSMUSG00000037525	Bcdin3d	15	99470084	99474730	-1
ENSMUSG00000009681	Bcr	10	75060896	75184923	1
ENSMUSG00000074029	Gm10608	9	119159161	119161669	1
ENSMUSG00000093852	Gm24312	8	123582850	123582968	-1
ENSMUSG00000052469	Tcp10c	17	13354572	13377223	1
ENSMUSG00000065803	Gm23040	7	98506954	98507116	1
ENSMUSG00000065582	Mir194-2	19	6264643	6264728	1
ENSMUSG00000096245	Gm24269	9	110925403	110925479	1
ENSMUSG00000090497	Gm17611	13	49976258	49976488	-1
ENSMUSG00000050350	Gpr18	14	121911435	121915774	-1
ENSMUSG00000096849	Gm25598	17	15837549	15837655	-1
ENSMUSG00000020219	Timm13	10	80899450	80900969	-1
ENSMUSG00000037003	Tns2	15	102102988	102116401	1
ENSMUSG00000098887	Mir6413	10	20297581	20297688	-1
ENSMUSG00000095111	Gm23713	13	62136762	62136831	1
ENSMUSG00000089146	Gm25266	10	94948590	94948893	1
ENSMUSG00000098280	Mir7687	8	120538696	120538754	1
ENSMUSG00000088343	Gm22339	10	104224838	104224899	-1
ENSMUSG00000064468	Gm25081	2	38480338	38480445	1
ENSMUSG00000089346	Gm22663	12	51740241	51740342	-1
ENSMUSG00000096748	Gm22635	2	10492421	10492546	1
ENSMUSG00000024870	Rab1b	19	5099207	5106996	-1
ENSMUSG00000096005	Gm24863	13	79454970	79455076	1
ENSMUSG00000084477	Gm25780	6	140530963	140531215	1
ENSMUSG00000065185	Gm25137	4	116674153	116674262	1
ENSMUSG00000035963	Odf3l2	10	79639526	79645738	-1
ENSMUSG00000068015	Lrch1	14	74754674	74947877	-1
ENSMUSG00000004939	Nmrk2	10	81198170	81202037	-1
ENSMUSG00000070074	Mir484	16	14159626	14159692	1
ENSMUSG00000084649	n-R5s76	10	31317169	31317281	-1
ENSMUSG00000092675	Gm25262	4	43631425	43631557	1
ENSMUSG00000087923	Gm23230	4	114844985	114845117	-1
ENSMUSG00000099126	Gm27321	X	103623551	103623755	1
ENSMUSG00000088737	Gm23899	14	66591606	66591695	-1
ENSMUSG00000017756	Slc12a7	13	73763697	73816743	1
ENSMUSG00000037149	Ddx1	12	13219308	13249213	-1
ENSMUSG00000089203	Gm26211	12	24779018	24779146	1
ENSMUSG00000088649	Gm26262	18	45941007	45941133	1
ENSMUSG00000084428	Gm25102	17	57747565	57747676	1
ENSMUSG00000022996	Wnt10b	15	98771753	98778150	-1
ENSMUSG00000105411	Gm44488	13	119269486	119269604	-1
ENSMUSG00000089487	Gm24736	17	72499289	72499418	-1
ENSMUSG00000093061	Mir5098	5	77272757	77272838	1
ENSMUSG00000098441	Mir6537	7	25097066	25097175	-1
ENSMUSG00000060166	Zdhhc8	16	18220754	18235136	-1
ENSMUSG00000053465	Hs6st3	14	119138415	119869594	1
ENSMUSG00000066637	Ttc32	12	9029997	9036394	1
ENSMUSG00000092918	Gm24081	2	127040561	127040685	1
ENSMUSG00000093139	Gm25999	15	99254882	99255014	-1
ENSMUSG00000088191	Gm23903	15	27061736	27061866	-1
ENSMUSG00000098662	Gm27582	10	92133222	92133347	-1
ENSMUSG00000096200	Gm23186	17	4678020	4678126	1
ENSMUSG00000024911	Fibp	19	5460607	5465052	1
ENSMUSG00000020638	Cmpk2	12	26469204	26479835	1
ENSMUSG00000065254	Gm23973	7	103271550	103271870	1
ENSMUSG00000084650	Gm22718	6	19046837	19047151	1
ENSMUSG00000096799	Gm22996	7	59375713	59375791	-1
ENSMUSG00000065758	n-R5s10	X	86406128	86406246	-1
ENSMUSG00000098986	Gm28006	19	5844916	5845037	-1
ENSMUSG00000095146	Gm24387	6	113422150	113422239	1
ENSMUSG00000065593	Mir339	5	139369650	139369745	-1
ENSMUSG00000089024	Gm25016	10	25266045	25266175	-1
ENSMUSG00000092999	Gm23921	7	25868945	25869051	1
ENSMUSG00000065297	Gm26123	8	65902057	65902191	1
ENSMUSG00000088789	Scarna13	12	105031075	105031349	-1
ENSMUSG00000098948	Gm27640	11	3647179	3647325	-1
ENSMUSG00000089408	Gm24885	2	107097206	107097475	-1
ENSMUSG00000094593	Gm24744	3	119831937	119832057	1
ENSMUSG00000043091	Tuba1c	15	99029891	99038105	1
ENSMUSG00000065450	Mir448	X	147158210	147158321	1
ENSMUSG00000099103	Gm27901	7	143447605	143447665	1
ENSMUSG00000089406	Mir2136	9	104426113	104426187	1
ENSMUSG00000064672	Gm22806	13	51648199	51648334	1
ENSMUSG00000088747	Gm23224	11	72340370	72340640	1
ENSMUSG00000077622	Gm23836	4	94098290	94098418	1
ENSMUSG00000089418	Gm22016	1	141314355	141314468	1
ENSMUSG00000022987	Zfp641	15	98285588	98296130	-1
ENSMUSG00000070106	Mir363	X	52741693	52741767	-1
ENSMUSG00000043061	Tmem18	12	30584443	30591213	1
ENSMUSG00000099095	Mir6376	6	88104128	88104258	-1
ENSMUSG00000077418	Gm23745	4	53905696	53905820	1
ENSMUSG00000077488	Gm25276	16	13531428	13531551	-1
ENSMUSG00000020576	Nbas	12	13269127	13583810	1
ENSMUSG00000092978	Gm25070	15	95879716	95879817	-1
ENSMUSG00000022095	Fam160b2	14	70583296	70599835	-1
ENSMUSG00000095842	Gm24302	15	12695124	12695224	1
ENSMUSG00000088318	Gm26187	1	87251148	87251248	1
ENSMUSG00000088495	Gm24398	11	23172798	23172906	-1
ENSMUSG00000092840	Gm24331	13	84182278	84182344	1
ENSMUSG00000105496	Mir7004	2	168640696	168640759	-1
ENSMUSG00000098890	Mir7008	3	31038966	31039028	1
ENSMUSG00000087985	Gm22223	8	101539584	101539708	-1
ENSMUSG00000019948	Actr6	10	89711973	89732295	-1
ENSMUSG00000088522	Gm26090	3	130870949	130871076	-1
